position_index,layer_position_index,scene_id,layer_id,height_index,grid_x_index,grid_z_index,x,y,z,route_heading_deg,camera_route_yaw_deg,pitch_deg,legacy_anchor,route_bridge,distance_from_previous,distance_to_next
305,7,scene_2,scene_2_y04,4,8,13,0.381428571,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
306,8,scene_2,scene_2_y04,4,9,13,0.952857143,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
307,9,scene_2,scene_2_y04,4,10,13,1.524285714,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
308,10,scene_2,scene_2_y04,4,11,13,2.095714286,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
309,11,scene_2,scene_2_y04,4,12,13,2.667142857,9.08,39.069285714,90.0,270.0,-8.0,True,False,0.571428571,0.571428571
310,12,scene_2,scene_2_y04,4,13,13,3.238571429,9.08,39.069285714,180.0,0.0,-8.0,True,False,0.571428571,0.630714286
311,13,scene_2,scene_2_y04,4,13,12,3.238571429,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.630714286,0.571428571
312,14,scene_2,scene_2_y04,4,12,12,2.667142857,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
313,15,scene_2,scene_2_y04,4,11,12,2.095714286,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
314,16,scene_2,scene_2_y04,4,10,12,1.524285714,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
315,17,scene_2,scene_2_y04,4,9,12,0.952857143,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
316,18,scene_2,scene_2_y04,4,8,12,0.381428571,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
317,19,scene_2,scene_2_y04,4,7,12,-0.19,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
318,20,scene_2,scene_2_y04,4,6,12,-0.761428571,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
319,21,scene_2,scene_2_y04,4,5,12,-1.332857143,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
320,22,scene_2,scene_2_y04,4,4,12,-1.904285714,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
321,23,scene_2,scene_2_y04,4,3,12,-2.475714286,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
322,24,scene_2,scene_2_y04,4,2,12,-3.047142857,9.08,38.438571429,270.0,90.0,-8.0,True,False,0.571428571,0.571428571
