point_index,layer_index,layer_z,x,y,z
108,4,131.89210731949998,391.99835904379995,243.29281247942856,131.89210731949998
109,4,131.89210731949998,414.824188401,243.29281247942856,131.89210731949998
110,4,131.89210731949998,437.65001775819997,243.29281247942856,131.89210731949998
111,4,131.89210731949998,437.65001775819997,221.03460551828573,131.89210731949998
112,4,131.89210731949998,414.824188401,221.03460551828573,131.89210731949998
113,4,131.89210731949998,391.99835904379995,221.03460551828573,131.89210731949998
114,4,131.89210731949998,369.1725296866,221.03460551828573,131.89210731949998
115,4,131.89210731949998,346.3467003294,221.03460551828573,131.89210731949998
116,4,131.89210731949998,323.5208709722,221.03460551828573,131.89210731949998
117,4,131.89210731949998,346.3467003294,198.77639855714287,131.89210731949998
118,4,131.89210731949998,369.1725296866,198.77639855714287,131.89210731949998
119,4,131.89210731949998,391.99835904379995,198.77639855714287,131.89210731949998
120,4,131.89210731949998,414.824188401,198.77639855714287,131.89210731949998
121,5,138.81394592499998,323.5208709722,221.03460551828573,138.81394592499998
122,5,138.81394592499998,369.1725296866,243.29281247942856,138.81394592499998
123,5,138.81394592499998,346.3467003294,243.29281247942856,138.81394592499998
124,5,138.81394592499998,323.5208709722,243.29281247942856,138.81394592499998
125,5,138.81394592499998,346.3467003294,265.55101944057145,138.81394592499998
126,5,138.81394592499998,369.1725296866,265.55101944057145,138.81394592499998
127,5,138.81394592499998,391.99835904379995,265.55101944057145,138.81394592499998
128,5,138.81394592499998,414.824188401,287.8092264017143,138.81394592499998
129,5,138.81394592499998,391.99835904379995,287.8092264017143,138.81394592499998
130,5,138.81394592499998,414.824188401,310.0674333628572,138.81394592499998
131,5,138.81394592499998,437.65001775819997,310.0674333628572,138.81394592499998
